"","X","common_name","scientific_name","recordist_name","recording_length","Date","TYPE","xc_id","Time","Country","Download_link","genus","file_dir"
"327",327,"Hooded Tinamou","Nothocercus nigrocapillus","David F. Belmonte","0:28","2022-07-19","","XC752666","06:32","Peru","https://xeno-canto.org/752666/download","Nothocercus","mp3s/Nothocercus326.mp3"
"328",328,"Hooded Tinamou","Nothocercus nigrocapillus","Wilson Diaz","3:11","2017-11-25","song","XC416308","10:00","Peru","https://xeno-canto.org/416308/download","Nothocercus","mp3s/Nothocercus327.mp3"
"329",329,"Hooded Tinamou","Nothocercus nigrocapillus","Joseph Tobias and Nathalie Seddon","1:01","2005-12-04","song","XC73976","07:45","Bolivia","https://xeno-canto.org/73976/download","Nothocercus","mp3s/Nothocercus328.mp3"
"330",330,"Hooded Tinamou","Nothocercus nigrocapillus","Joseph Tobias and Nathalie Seddon","1:06","2005-12-04","song","XC73975","07:43","Bolivia","https://xeno-canto.org/73975/download","Nothocercus","mp3s/Nothocercus329.mp3"
"331",331,"Hooded Tinamou","Nothocercus nigrocapillus","David Geale","0:11","2010-10-29","song","XC65583","10:40","Peru","https://xeno-canto.org/65583/download","Nothocercus","mp3s/Nothocercus330.mp3"
"332",332,"Hooded Tinamou","Nothocercus nigrocapillus cadwaladeri","Remco Hofland","0:33","2019-07-03","song","XC511115","08:46","Peru","https://xeno-canto.org/511115/download","Nothocercus","mp3s/Nothocercus331.mp3"
"333",333,"Hooded Tinamou","Nothocercus nigrocapillus","Fabrice Schmitt","0:39","2016-10-06","song","XC439082","09:00","Peru","https://xeno-canto.org/439082/download","Nothocercus","mp3s/Nothocercus332.mp3"
"334",334,"Hooded Tinamou","Nothocercus nigrocapillus","Joseph Tobias and Nathalie Seddon","0:36","2001-10-14","call","XC63798","?:?","Peru","https://xeno-canto.org/63798/download","Nothocercus","mp3s/Nothocercus333.mp3"
"335",335,"Hooded Tinamou","Nothocercus nigrocapillus","andreas bruun kristensen","0:13","2014-07-25","song","XC206231","14:30","Peru","https://xeno-canto.org/206231/download","Nothocercus","mp3s/Nothocercus334.mp3"
"336",336,"Berlepsch's Tinamou","Crypturellus berlepschi","Edison Ocaña","0:44","2022-01-22","song","XC698536","08:20","Ecuador","https://xeno-canto.org/698536/download","Crypturellus","mp3s/Crypturellus335.mp3"
"337",337,"Berlepsch's Tinamou","Crypturellus berlepschi","Edison Ocaña","1:41","2022-01-22","song","XC698535","08:20","Ecuador","https://xeno-canto.org/698535/download","Crypturellus","mp3s/Crypturellus336.mp3"
"338",338,"Berlepsch's Tinamou","Crypturellus berlepschi","Edison Ocaña","0:31","2022-01-22","song","XC698534","08:20","Ecuador","https://xeno-canto.org/698534/download","Crypturellus","mp3s/Crypturellus337.mp3"
"339",339,"Berlepsch's Tinamou","Crypturellus berlepschi","Edison Ocaña","0:17","2022-01-22","song","XC698533","08:20","Ecuador","https://xeno-canto.org/698533/download","Crypturellus","mp3s/Crypturellus338.mp3"
"340",340,"Berlepsch's Tinamou","Crypturellus berlepschi","Fabrice Schmitt","0:05","2017-09-01","song","XC428699","10:30","Colombia","https://xeno-canto.org/428699/download","Crypturellus","mp3s/Crypturellus339.mp3"
"341",341,"Berlepsch's Tinamou","Crypturellus berlepschi","Olaf Jahn","0:16","2001-03-21","song","XC261514","?","Ecuador","https://xeno-canto.org/261514/download","Crypturellus","mp3s/Crypturellus340.mp3"
"342",342,"Berlepsch's Tinamou","Crypturellus berlepschi","Olaf Jahn","0:12","2009-09-00","song","XC261513","?","Ecuador","https://xeno-canto.org/261513/download","Crypturellus","mp3s/Crypturellus341.mp3"
"343",343,"Berlepsch's Tinamou","Crypturellus berlepschi","Olaf Jahn","0:28","1999-07-26","song","XC261512","?","Ecuador","https://xeno-canto.org/261512/download","Crypturellus","mp3s/Crypturellus342.mp3"
"344",344,"Berlepsch's Tinamou","Crypturellus berlepschi","Andrew Spencer","1:06","2010-11-06","song","XC65407","17:30","Ecuador","https://xeno-canto.org/65407/download","Crypturellus","mp3s/Crypturellus343.mp3"
"345",345,"Berlepsch's Tinamou","Crypturellus berlepschi","Scott Olmstead","0:29","2008-07-21","song","XC22499","13:50","Ecuador","https://xeno-canto.org/22499/download","Crypturellus","mp3s/Crypturellus344.mp3"
"346",346,"Berlepsch's Tinamou","Crypturellus berlepschi","Andrés Felipe Tigreros Andrade","0:35","2019-05-07","song","XC477199","17:05","Colombia","https://xeno-canto.org/477199/download","Crypturellus","mp3s/Crypturellus345.mp3"
"347",347,"Berlepsch's Tinamou","Crypturellus berlepschi","Nick Athanas","0:29","2007-04-01","song","XC11871","08:58","Ecuador","https://xeno-canto.org/11871/download","Crypturellus","mp3s/Crypturellus346.mp3"
"348",348,"Berlepsch's Tinamou","Crypturellus berlepschi","Niels Krabbe","0:07","1999-10-20","song","XC238214","15:10","Ecuador","https://xeno-canto.org/238214/download","Crypturellus","mp3s/Crypturellus347.mp3"
"349",349,"Cinereous Tinamou","Crypturellus cinereus","JAYRSON ARAUJO DE OLIVEIRA","0:07","2022-09-23","song","XC755297","10:02","Brazil","https://xeno-canto.org/755297/download","Crypturellus","mp3s/Crypturellus348.mp3"
"350",350,"Cinereous Tinamou","Crypturellus cinereus","JAYRSON ARAUJO DE OLIVEIRA","0:18","2022-09-21","song","XC755087","9:29","Brazil","https://xeno-canto.org/755087/download","Crypturellus","mp3s/Crypturellus349.mp3"
"351",351,"Cinereous Tinamou","Crypturellus cinereus","Teus Luijendijk","1:04","2022-07-22","song","XC748492","07:37","Brazil","https://xeno-canto.org/748492/download","Crypturellus","mp3s/Crypturellus350.mp3"
"352",352,"Cinereous Tinamou","Crypturellus cinereus","Urias Edgardo Gonzalez Carreño","1:16","2022-05-02","song","XC743526","16:00","Colombia","https://xeno-canto.org/743526/download","Crypturellus","mp3s/Crypturellus351.mp3"
"353",353,"Cinereous Tinamou","Crypturellus cinereus","Tulio Dornas","0:13","2018-08-21","song","XC698654","18:30","Brazil","https://xeno-canto.org/698654/download","Crypturellus","mp3s/Crypturellus352.mp3"
"354",354,"Cinereous Tinamou","Crypturellus cinereus","Felipe Arantes","0:42","2021-10-31","song","XC694205","08:00","Brazil","https://xeno-canto.org/694205/download","Crypturellus","mp3s/Crypturellus353.mp3"
"355",355,"Cinereous Tinamou","Crypturellus cinereus","Andres Felipe Espinosa","0:38","2021-03-20","song","XC687236","13:30","Colombia","https://xeno-canto.org/687236/download","Crypturellus","mp3s/Crypturellus354.mp3"
"356",356,"Cinereous Tinamou","Crypturellus cinereus","Mauricio Cuellar Ramirez (@Birding.travel)","0:45","2021-08-23","song","XC683512","07:00","Colombia","https://xeno-canto.org/683512/download","Crypturellus","mp3s/Crypturellus355.mp3"
"357",357,"Cinereous Tinamou","Crypturellus cinereus","Jacob Wijpkema","1:22","2021-08-23","song","XC676249","18:22","Bolivia","https://xeno-canto.org/676249/download","Crypturellus","mp3s/Crypturellus356.mp3"
"358",358,"Cinereous Tinamou","Crypturellus cinereus","Danny V. Guarderas","0:58","2007-05-01","song","XC649047","06:00","Ecuador","https://xeno-canto.org/649047/download","Crypturellus","mp3s/Crypturellus357.mp3"
"359",359,"Cinereous Tinamou","Crypturellus cinereus","GABRIEL LEITE","0:50","2021-03-30","song","XC642569","06:00","Brazil","https://xeno-canto.org/642569/download","Crypturellus","mp3s/Crypturellus358.mp3"
"360",360,"Cinereous Tinamou","Crypturellus cinereus","Dante Buzzetti","0:43","2006-09-10","song","XC639880","17:35","Brazil","https://xeno-canto.org/639880/download","Crypturellus","mp3s/Crypturellus359.mp3"
"361",361,"Cinereous Tinamou","Crypturellus cinereus","Mauricio Cuellar Ramirez (@Birding.travel)","0:23","2021-01-16","song","XC616210","08:00","Colombia","https://xeno-canto.org/616210/download","Crypturellus","mp3s/Crypturellus360.mp3"
"362",362,"Cinereous Tinamou","Crypturellus cinereus","Arne Thelin","0:32","2020-10-31","song","XC609167","09:00","Suriname","https://xeno-canto.org/609167/download","Crypturellus","mp3s/Crypturellus361.mp3"
"363",363,"Cinereous Tinamou","Crypturellus cinereus","GABRIEL LEITE","0:22","2020-07-10","song","XC574867","06:30","Brazil","https://xeno-canto.org/574867/download","Crypturellus","mp3s/Crypturellus362.mp3"
"364",364,"Cinereous Tinamou","Crypturellus cinereus","Rolf A. de By","1:20","2018-05-28","advertising cll","XC463658","08:40","Peru","https://xeno-canto.org/463658/download","Crypturellus","mp3s/Crypturellus363.mp3"
"365",365,"Cinereous Tinamou","Crypturellus cinereus","GABRIEL LEITE","0:39","2019-01-29","call","XC456284","07:30","Brazil","https://xeno-canto.org/456284/download","Crypturellus","mp3s/Crypturellus364.mp3"
"366",366,"Cinereous Tinamou","Crypturellus cinereus","Will Sweet","0:54","2018-07-18","song","XC453540","16:00","Peru","https://xeno-canto.org/453540/download","Crypturellus","mp3s/Crypturellus365.mp3"
"367",367,"Cinereous Tinamou","Crypturellus cinereus","Jerome Fischer","0:53","2019-01-17","song","XC452850","16:30","Brazil","https://xeno-canto.org/452850/download","Crypturellus","mp3s/Crypturellus366.mp3"
"368",368,"Cinereous Tinamou","Crypturellus cinereus","Brice de la Croix","0:34","2018-10-14","song","XC450786","08:00","French Guiana","https://xeno-canto.org/450786/download","Crypturellus","mp3s/Crypturellus367.mp3"
"369",369,"Cinereous Tinamou","Crypturellus cinereus","Edson Guilherme","0:32","2018-05-27","song","XC446610","09:25","Brazil","https://xeno-canto.org/446610/download","Crypturellus","mp3s/Crypturellus368.mp3"
"370",370,"Cinereous Tinamou","Crypturellus cinereus","Jacob Wijpkema","1:39","2018-10-19","call, song","XC441107","07:45","Bolivia","https://xeno-canto.org/441107/download","Crypturellus","mp3s/Crypturellus369.mp3"
"371",371,"Cinereous Tinamou","Crypturellus cinereus","Felipe Arantes","0:36","2015-06-16","song","XC424163","08:00","Brazil","https://xeno-canto.org/424163/download","Crypturellus","mp3s/Crypturellus370.mp3"
"372",372,"Cinereous Tinamou","Crypturellus cinereus","Olivier Claessens","6:54","2018-04-12","duet, song","XC411906","11:50","French Guiana","https://xeno-canto.org/411906/download","Crypturellus","mp3s/Crypturellus371.mp3"
"373",373,"Cinereous Tinamou","Crypturellus cinereus","Guido O. Keijl","0:38","2017-11-17","song","XC401264","08:24","Suriname","https://xeno-canto.org/401264/download","Crypturellus","mp3s/Crypturellus372.mp3"
"374",374,"Cinereous Tinamou","Crypturellus cinereus","Ron A. Fernandez","1:25","2008-04-30","song","XC391377","17:00","Colombia","https://xeno-canto.org/391377/download","Crypturellus","mp3s/Crypturellus373.mp3"
"375",375,"Cinereous Tinamou","Crypturellus cinereus","Étienne Leroy","0:56","2017-09-01","song","XC387680","08:00","French Guiana","https://xeno-canto.org/387680/download","Crypturellus","mp3s/Crypturellus374.mp3"
"376",376,"Cinereous Tinamou","Crypturellus cinereus","Ottavio Janni","1:20","2016-08-03","song","XC333417","12:30","Colombia","https://xeno-canto.org/333417/download","Crypturellus","mp3s/Crypturellus375.mp3"
"377",377,"Cinereous Tinamou","Crypturellus cinereus","Jeremy Minns","0:51","2003-04-01","song","XC333322","07:00","Brazil","https://xeno-canto.org/333322/download","Crypturellus","mp3s/Crypturellus376.mp3"
"378",378,"Cinereous Tinamou","Crypturellus cinereus","Fernando Igor de Godoy","0:37","2013-06-23","song","XC329091","08:30","Brazil","https://xeno-canto.org/329091/download","Crypturellus","mp3s/Crypturellus377.mp3"
"379",379,"Little Tinamou","Crypturellus soui harterti","Alejo Mendoza","0:37","2009-02-03","song","XC568135","14:30","Colombia","https://xeno-canto.org/568135/download","Crypturellus","mp3s/Crypturellus378.mp3"
"380",380,"Little Tinamou","Crypturellus soui ss modestus","Brendan Sloan","1:47","2020-03-06","song","XC562438","07:00","Costa Rica","https://xeno-canto.org/562438/download","Crypturellus","mp3s/Crypturellus379.mp3"
"381",381,"Little Tinamou","Crypturellus soui","Guilherme Willrich","0:48","2019-09-23","song","XC524786","10:11","Brazil","https://xeno-canto.org/524786/download","Crypturellus","mp3s/Crypturellus380.mp3"
"382",382,"Little Tinamou","Crypturellus soui","Jacob Wijpkema","0:30","2019-10-12","song","XC506134","16:38","Bolivia","https://xeno-canto.org/506134/download","Crypturellus","mp3s/Crypturellus381.mp3"
"383",383,"Little Tinamou","Crypturellus soui","Rosendo Manuel Fraga","0:16","2004-02-29","call, song","XC477845","11:00","Venezuela","https://xeno-canto.org/477845/download","Crypturellus","mp3s/Crypturellus382.mp3"
"384",384,"Little Tinamou","Crypturellus soui","Gerlando Delgado","0:39","2019-04-18","song","XC474617","14:30","Colombia","https://xeno-canto.org/474617/download","Crypturellus","mp3s/Crypturellus383.mp3"
"385",385,"Little Tinamou","Crypturellus soui","Ricardo Gagliardi","1:54","2014-07-04","call","XC472328","06:25","Brazil","https://xeno-canto.org/472328/download","Crypturellus","mp3s/Crypturellus384.mp3"
"386",386,"Little Tinamou","Crypturellus soui","Ricardo Gagliardi","0:16","2014-07-04","song","XC472327","06:15","Brazil","https://xeno-canto.org/472327/download","Crypturellus","mp3s/Crypturellus385.mp3"
"387",387,"Little Tinamou","Crypturellus soui","Ricardo Gagliardi","0:41","2014-07-03","call","XC472326","17:05","Brazil","https://xeno-canto.org/472326/download","Crypturellus","mp3s/Crypturellus386.mp3"
"388",388,"Little Tinamou","Crypturellus soui","Jeff Normandin","0:13","2019-02-22","song","XC461383","06:00","Costa Rica","https://xeno-canto.org/461383/download","Crypturellus","mp3s/Crypturellus387.mp3"
"389",389,"Little Tinamou","Crypturellus soui","JAYRSON ARAUJO DE OLIVEIRA","0:24","2022-09-18","call, song","XC754576","8:04","Brazil","https://xeno-canto.org/754576/download","Crypturellus","mp3s/Crypturellus388.mp3"
"390",390,"Little Tinamou","Crypturellus soui","Joost van Bruggen","1:02","2022-07-03","duet, song","XC742257","10:16","Colombia","https://xeno-canto.org/742257/download","Crypturellus","mp3s/Crypturellus389.mp3"
"391",391,"Little Tinamou","Crypturellus soui","JAYRSON ARAUJO DE OLIVEIRA","0:43","2022-07-27","song","XC741070","6:34","Brazil","https://xeno-canto.org/741070/download","Crypturellus","mp3s/Crypturellus390.mp3"
"392",392,"Little Tinamou","Crypturellus soui","Juan Sebastián Cortés Cano","0:41","2022-06-26","song","XC735433","07:30","Colombia","https://xeno-canto.org/735433/download","Crypturellus","mp3s/Crypturellus391.mp3"
"393",393,"Little Tinamou","Crypturellus soui","Jacob Wijpkema","0:40","2022-04-20","song","XC722858","07:30","Bolivia","https://xeno-canto.org/722858/download","Crypturellus","mp3s/Crypturellus392.mp3"
"394",394,"Little Tinamou","Crypturellus soui","Fernando Igor de Godoy","0:19","2017-07-24","song","XC705473","07:00","Brazil","https://xeno-canto.org/705473/download","Crypturellus","mp3s/Crypturellus393.mp3"
"395",395,"Little Tinamou","Crypturellus soui","Tulio Dornas","0:20","2009-05-13","duet, song","XC698618","07:00","Brazil","https://xeno-canto.org/698618/download","Crypturellus","mp3s/Crypturellus394.mp3"
"396",396,"Little Tinamou","Crypturellus soui","Dante Buzzetti","0:49","1996-11-19","song","XC692855","6:30","Brazil","https://xeno-canto.org/692855/download","Crypturellus","mp3s/Crypturellus395.mp3"
"397",397,"Little Tinamou","Crypturellus soui","David Monroy Rengifo","0:23","2021-10-24","uncertain","XC688003","12:30","Colombia","https://xeno-canto.org/688003/download","Crypturellus","mp3s/Crypturellus396.mp3"
"398",398,"Little Tinamou","Crypturellus soui","Jacob Wijpkema","0:32","2021-08-13","song","XC674279","16:46","Bolivia","https://xeno-canto.org/674279/download","Crypturellus","mp3s/Crypturellus397.mp3"
"399",399,"Little Tinamou","Crypturellus soui nigriceps","Leonardo Ordóñez-Delgado","2:54","2021-06-14","song","XC662993","07:00","Ecuador","https://xeno-canto.org/662993/download","Crypturellus","mp3s/Crypturellus398.mp3"
"400",400,"Little Tinamou","Crypturellus soui","Rafael Lima","1:54","2019-07-15","song","XC657320","07:14","Brazil","https://xeno-canto.org/657320/download","Crypturellus","mp3s/Crypturellus399.mp3"
"401",401,"Little Tinamou","Crypturellus soui","JAYRSON ARAUJO DE OLIVEIRA","1:24","2021-06-15","song","XC657183","13:14","Brazil","https://xeno-canto.org/657183/download","Crypturellus","mp3s/Crypturellus400.mp3"
"402",402,"Little Tinamou","Crypturellus soui","JAYRSON ARAUJO DE OLIVEIRA","1:34","2021-06-11","song","XC656067","8:05","Brazil","https://xeno-canto.org/656067/download","Crypturellus","mp3s/Crypturellus401.mp3"
"403",403,"Little Tinamou","Crypturellus soui","JAYRSON ARAUJO DE OLIVEIRA","0:20","2021-06-11","song","XC656065","7:50","Brazil","https://xeno-canto.org/656065/download","Crypturellus","mp3s/Crypturellus402.mp3"
"404",404,"Little Tinamou","Crypturellus soui","Arne Thelin","0:44","2021-04-05","song","XC640879","07:00","Suriname","https://xeno-canto.org/640879/download","Crypturellus","mp3s/Crypturellus403.mp3"
"405",405,"Little Tinamou","Crypturellus soui albigularis","GABRIEL LEITE","0:35","2020-11-29","song","XC606624","07:00","Brazil","https://xeno-canto.org/606624/download","Crypturellus","mp3s/Crypturellus404.mp3"
"406",406,"Little Tinamou","Crypturellus soui","Jacob Wijpkema","0:05","2020-10-31","song","XC604135","18:01","Bolivia","https://xeno-canto.org/604135/download","Crypturellus","mp3s/Crypturellus405.mp3"
"407",407,"Little Tinamou","Crypturellus soui","José María Loaiza B.","0:18","2020-08-30","uncertain, sonido de aleteo cuando levanta el vuelo","XC585806","07:14","Ecuador","https://xeno-canto.org/585806/download","Crypturellus","mp3s/Crypturellus406.mp3"
"408",408,"Little Tinamou","Crypturellus soui","Dante Buzzetti","2:16","2008-08-04","call","XC557620","18:50","Brazil","https://xeno-canto.org/557620/download","Crypturellus","mp3s/Crypturellus407.mp3"
"409",409,"Tepui Tinamou","Crypturellus ptaritepui","Sergio Gregorio","0:14","2016-01-12","song","XC303328","07:30","Venezuela","https://xeno-canto.org/303328/download","Crypturellus","mp3s/Crypturellus408.mp3"
"410",410,"Tepui Tinamou","Crypturellus ptaritepui","GABRIEL LEITE","0:09","2017-01-29","song","XC354925","07:00","Venezuela","https://xeno-canto.org/354925/download","Crypturellus","mp3s/Crypturellus409.mp3"
"411",411,"Brown Tinamou","Crypturellus obsoletus obsoletus","Bernabe Lopez-Lanus","0:20","2019-10-19","song","XC549354","12:00","Argentina","https://xeno-canto.org/549354/download","Crypturellus","mp3s/Crypturellus410.mp3"
"412",412,"Brown Tinamou","Crypturellus obsoletus obsoletus","Bernabe Lopez-Lanus","0:26","2019-10-12","song","XC549351","12:00","Argentina","https://xeno-canto.org/549351/download","Crypturellus","mp3s/Crypturellus411.mp3"
"413",413,"Brown Tinamou","Crypturellus obsoletus obsoletus","Bernabe Lopez-Lanus","1:11","2019-10-12","song","XC549350","08:00","Argentina","https://xeno-canto.org/549350/download","Crypturellus","mp3s/Crypturellus412.mp3"
"414",414,"Brown Tinamou","Crypturellus obsoletus obsoletus","Guilherme de Barros Brandão","0:23","2015-09-03","song","XC402330","11:32","Brazil","https://xeno-canto.org/402330/download","Crypturellus","mp3s/Crypturellus413.mp3"
"415",415,"Brown Tinamou","Crypturellus obsoletus","Fernando Igor de Godoy","1:12","2013-06-26","song","XC329092","07:30","Brazil","https://xeno-canto.org/329092/download","Crypturellus","mp3s/Crypturellus414.mp3"
"416",416,"Brown Tinamou","Crypturellus obsoletus","Daniel Hinckley","0:11","2022-07-26","song","XC739149","09:04","Brazil","https://xeno-canto.org/739149/download","Crypturellus","mp3s/Crypturellus415.mp3"
"417",417,"Brown Tinamou","Crypturellus obsoletus","David F. Belmonte","0:26","2021-06-25","uncertain","XC707842","12:00","Peru","https://xeno-canto.org/707842/download","Crypturellus","mp3s/Crypturellus416.mp3"
"418",418,"Brown Tinamou","Crypturellus obsoletus","András Schmidt","0:07","2015-06-22","","XC699403","07:55","Brazil","https://xeno-canto.org/699403/download","Crypturellus","mp3s/Crypturellus417.mp3"
"419",419,"Brown Tinamou","Crypturellus obsoletus","Tulio Dornas","0:57","2021-01-07","song","XC698117","06:30","Brazil","https://xeno-canto.org/698117/download","Crypturellus","mp3s/Crypturellus418.mp3"
"420",420,"Brown Tinamou","Crypturellus obsoletus","Dante Buzzetti","8:03","2004-08-16","song","XC657841","18:00","Brazil","https://xeno-canto.org/657841/download","Crypturellus","mp3s/Crypturellus419.mp3"
"421",421,"Brown Tinamou","Crypturellus obsoletus obsoletus","GABRIEL LEITE","0:25","2020-11-23","call","XC606683","07:00","Brazil","https://xeno-canto.org/606683/download","Crypturellus","mp3s/Crypturellus420.mp3"
"422",422,"Brown Tinamou","Crypturellus obsoletus","Franco Vushurovich","0:07","2019-04-03","song","XC551776","11:00","Argentina","https://xeno-canto.org/551776/download","Crypturellus","mp3s/Crypturellus421.mp3"
"423",423,"Brown Tinamou","Crypturellus obsoletus","Marcelo J Feliti","0:43","2019-08-10","song","XC494959","11:00","Brazil","https://xeno-canto.org/494959/download","Crypturellus","mp3s/Crypturellus422.mp3"
"424",424,"Brown Tinamou","Crypturellus obsoletus","Franco Vushurovich","0:11","2018-12-02","song","XC492558","10:00","Argentina","https://xeno-canto.org/492558/download","Crypturellus","mp3s/Crypturellus423.mp3"
"425",425,"Brown Tinamou","Crypturellus obsoletus","Franco Vushurovich","0:11","2019-04-02","song","XC465555","07:30","Argentina","https://xeno-canto.org/465555/download","Crypturellus","mp3s/Crypturellus424.mp3"
"426",426,"Brown Tinamou","Crypturellus obsoletus","Caio Brito","0:32","2016-05-16","canto","XC427265","08:15","Brazil","https://xeno-canto.org/427265/download","Crypturellus","mp3s/Crypturellus425.mp3"
"427",427,"Brown Tinamou","Crypturellus obsoletus","Marcelo Jordani Feliti","0:50","2016-09-17","song","XC424637","07:00","Brazil","https://xeno-canto.org/424637/download","Crypturellus","mp3s/Crypturellus426.mp3"
"428",428,"Brown Tinamou","Crypturellus obsoletus","JAYRSON ARAUJO DE OLIVEIRA","0:03","2017-09-22","song","XC414933","6:22","Brazil","https://xeno-canto.org/414933/download","Crypturellus","mp3s/Crypturellus427.mp3"
"429",429,"Brown Tinamou","Crypturellus obsoletus","JAYRSON ARAUJO DE OLIVEIRA","0:03","2017-11-09","song","XC414872","7:57","Brazil","https://xeno-canto.org/414872/download","Crypturellus","mp3s/Crypturellus428.mp3"
"430",430,"Brown Tinamou","Crypturellus obsoletus punensis","Guy Kirwan","3:22","2016-09-10","song","XC351477","08:30","Bolivia","https://xeno-canto.org/351477/download","Crypturellus","mp3s/Crypturellus429.mp3"
"431",431,"Brown Tinamou","Crypturellus obsoletus punensis","Guy Kirwan","3:24","2016-09-05","song","XC351071","16:30","Bolivia","https://xeno-canto.org/351071/download","Crypturellus","mp3s/Crypturellus430.mp3"
"432",432,"Brown Tinamou","Crypturellus obsoletus punensis","Guy Kirwan","1:01","2016-09-05","song","XC351069","16:30","Bolivia","https://xeno-canto.org/351069/download","Crypturellus","mp3s/Crypturellus431.mp3"
"433",433,"Brown Tinamou","Crypturellus obsoletus","Dan Lane","0:26","2016-09-05","call","XC348783","17:00","Bolivia","https://xeno-canto.org/348783/download","Crypturellus","mp3s/Crypturellus432.mp3"
"434",434,"Brown Tinamou","Crypturellus obsoletus obsoletus","Rodrigo Dela Rosa","1:47","2014-11-30","song","XC348637","06:30","Brazil","https://xeno-canto.org/348637/download","Crypturellus","mp3s/Crypturellus433.mp3"
"435",435,"Brown Tinamou","Crypturellus obsoletus obsoletus","Rodrigo Dela Rosa","0:46","2016-11-27","song","XC344287","16:00","Brazil","https://xeno-canto.org/344287/download","Crypturellus","mp3s/Crypturellus434.mp3"
"436",436,"Brown Tinamou","Crypturellus obsoletus obsoletus","Mateus G. Santos","0:03","2016-10-14","song","XC341011","05:00","Brazil","https://xeno-canto.org/341011/download","Crypturellus",NA
"437",437,"Brown Tinamou","Crypturellus obsoletus","Odirlei Vieira da Fonseca","1:40","2016-08-19","song","XC337077","09:30","Brazil","https://xeno-canto.org/337077/download","Crypturellus","mp3s/Crypturellus436.mp3"
"438",438,"Brown Tinamou","Crypturellus obsoletus","Odirlei Vieira da Fonseca","0:59","2016-08-19","song","XC337076","09:30","Brazil","https://xeno-canto.org/337076/download","Crypturellus","mp3s/Crypturellus437.mp3"
"439",439,"Brown Tinamou","Crypturellus obsoletus","Robson Silva e Silva","3:05","2016-09-11","call","XC335296","07:00","Brazil","https://xeno-canto.org/335296/download","Crypturellus","mp3s/Crypturellus438.mp3"
"440",440,"Brown Tinamou","Crypturellus obsoletus obsoletus (ssp assumed from location)","Jeremy Minns","3:09","2002-11-21","call","XC332732","05:57","Argentina","https://xeno-canto.org/332732/download","Crypturellus","mp3s/Crypturellus439.mp3"
"441",441,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","0:03","2022-09-22","song","XC755187","6:59","Brazil","https://xeno-canto.org/755187/download","Crypturellus","mp3s/Crypturellus440.mp3"
"442",442,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","0:22","2022-09-17","song","XC754408","18:21","Brazil","https://xeno-canto.org/754408/download","Crypturellus","mp3s/Crypturellus441.mp3"
"443",443,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","0:05","2022-07-07","song","XC737017","9:21","Brazil","https://xeno-canto.org/737017/download","Crypturellus","mp3s/Crypturellus442.mp3"
"444",444,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","0:06","2022-05-26","song","XC727430","17:50","Brazil","https://xeno-canto.org/727430/download","Crypturellus","mp3s/Crypturellus443.mp3"
"445",445,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","0:46","2022-05-26","song","XC727429","17:40","Brazil","https://xeno-canto.org/727429/download","Crypturellus","mp3s/Crypturellus444.mp3"
"446",446,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","1:09","2022-04-14","song","XC715896","7:42","Brazil","https://xeno-canto.org/715896/download","Crypturellus","mp3s/Crypturellus445.mp3"
"447",447,"Undulated Tinamou","Crypturellus undulatus","Juan Alejandro Morales Betancourt","0:24","2022-03-15","song","XC709435","15:02","Colombia","https://xeno-canto.org/709435/download","Crypturellus","mp3s/Crypturellus446.mp3"
"448",448,"Undulated Tinamou","Crypturellus undulatus","Adelina Maria Kühl","0:20","2021-10-08","uncertain","XC680557","15:26","Brazil","https://xeno-canto.org/680557/download","Crypturellus","mp3s/Crypturellus447.mp3"
"449",449,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","0:59","2021-07-08","song","XC662179","6:55","Brazil","https://xeno-canto.org/662179/download","Crypturellus","mp3s/Crypturellus448.mp3"
"450",450,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","2:10","2021-01-25","song","XC617469","7:21","Brazil","https://xeno-canto.org/617469/download","Crypturellus","mp3s/Crypturellus449.mp3"
"451",451,"Undulated Tinamou","Crypturellus undulatus","JAYRSON ARAUJO DE OLIVEIRA","0:50","2021-01-22","song","XC617211","6:43","Brazil","https://xeno-canto.org/617211/download","Crypturellus","mp3s/Crypturellus450.mp3"
"452",452,"Undulated Tinamou","Crypturellus undulatus","Fabrice Schmitt","1:00","2014-09-14","song","XC614655","08:30","Paraguay","https://xeno-canto.org/614655/download","Crypturellus","mp3s/Crypturellus451.mp3"
"453",453,"Undulated Tinamou","Crypturellus undulatus","Julio Delgado","0:05","2019-07-20","song","XC613795","06:30","Colombia","https://xeno-canto.org/613795/download","Crypturellus","mp3s/Crypturellus452.mp3"
